longitude,latitude,alt,temp,prec,hum,dist_aqua
30.66666667,-14.96666667,747.3125,29.47492027,85.94166565,64.70833588,37.22600174
30.66666667,-14.9,690.375,30.26153183,85.94166565,64.70833588,37.66899872
30.66666667,-14.83333333,716.7096774,30.21717262,85.94166565,64.70833588,41.36000061
30.73333333,-15.96666667,453.984375,30.77850342,69.33333588,65.77500153,15.34500027
30.73333333,-15.9,412.8125,31.53794861,69.33333588,65.77500153,13.51099968
30.73333333,-15.83333333,413.15625,31.8045063,69.33333588,65.77500153,13.71199989
30.73333333,-15.76666667,393.671875,31.8012867,67.68333435,65.3833313,9.572999954
30.73333333,-15.7,342.46875,32.04179382,67.68333435,65.3833313,2.76699996
30.73333333,-15.63333333,324.4375,31.49538803,67.48332977,65.07499695,0
30.73333333,-15.56666667,355.515625,31.95491409,67.48332977,65.07499695,1.975999951
30.73333333,-15.5,524.21875,31.42517662,67.48332977,65.07499695,5.921999931
30.73333333,-15.43333333,575.8125,30.94903564,74.01667023,65.1166687,12.33300018
30.73333333,-15.36666667,604.703125,30.84489441,74.01667023,65.1166687,19.47599983
30.73333333,-15.3,741.4375,30.04615784,82.97499847,65.15000153,26.77000046
30.73333333,-15.23333333,853.046875,28.77895164,82.97499847,65.15000153,34.11899948
30.73333333,-15.16666667,987.078125,27.60975075,82.97499847,65.15000153,40.19499969
30.73333333,-15.1,1088.28125,26.67301559,87.65000153,65.09166718,40.04000092
30.73333333,-15.03333333,1011.8125,28.07761574,87.65000153,65.09166718,41.23199844
30.73333333,-14.96666667,810.640625,29.40441513,85.94166565,64.70833588,43.66999817
30.73333333,-14.9,785.21875,29.66934776,85.94166565,64.70833588,44.04600143
30.73333333,-14.83333333,773.5090909,29.89681435,85.94166565,64.70833588,41.36000061
30.8,-15.96666667,431.25,31.17475891,69.33333588,65.77500153,22.26799965
30.8,-15.9,399.671875,31.69182777,69.33333588,65.77500153,20.63500023
30.8,-15.83333333,427.234375,31.46886253,69.33333588,65.77500153,14.61600018
30.8,-15.76666667,380.734375,31.84326744,67.68333435,65.3833313,7.715000153
30.8,-15.7,348.140625,31.33429337,67.68333435,65.3833313,2.411000013
30.8,-15.63333333,329.046875,31.15329933,67.48332977,65.07499695,0
30.8,-15.56666667,381.703125,31.76630783,67.48332977,65.07499695,3.937000036
30.8,-15.5,484.984375,31.46564674,67.48332977,65.07499695,5.059999943
30.8,-15.43333333,602.328125,30.67432404,74.01667023,65.1166687,11.94299984
30.8,-15.36666667,678.90625,30.00166702,74.01667023,65.1166687,19.2310009
30.8,-15.3,726.5,29.95000648,82.97499847,65.15000153,26.59300041
30.8,-15.23333333,901.265625,28.32069206,82.97499847,65.15000153,33.97999954
30.8,-15.16666667,911.734375,28.35171318,82.97499847,65.15000153,41.38000107
30.8,-15.1,958.234375,28.134758,87.65000153,65.09166718,47.18999863
30.8,-15.03333333,1001.078125,27.93480301,87.65000153,65.09166718,48.20700073
30.8,-14.96666667,941.0625,28.22882462,85.94166565,64.70833588,50.31100082
30.8,-14.9,865.140625,29.04986763,85.94166565,64.70833588,45.92499924
30.8,-14.83333333,842.375,29.17388916,85.94166565,64.70833588,39.61800003
30.8,-14.76666667,861.6,29.16460037,83.66666412,64.40833282,39.61800003
30.86666667,-15.96666667,399.515625,31.47706985,70.9916687,65.65833282,22.50300026
30.86666667,-15.9,395.796875,31.59586716,70.9916687,65.65833282,17.92099953
30.86666667,-15.83333333,381.796875,31.54809952,70.9916687,65.65833282,12.03199959
30.86666667,-15.76666667,356.5625,31.86722946,69.55000305,65.2583313,4.714000225
30.86666667,-15.7,336.703125,31.14203835,69.55000305,65.2583313,0.514999986
30.86666667,-15.63333333,346.796875,31.22327805,72.3833313,65.1333313,0.206
30.86666667,-15.56666667,433.21875,31.79242706,72.3833313,65.1333313,6.563000202
30.86666667,-15.5,578.46875,31.2543335,72.3833313,65.1333313,10.84700012
30.86666667,-15.43333333,605.640625,30.91281319,77.42500305,65.06666565,15.31999969
30.86666667,-15.36666667,634.296875,30.52729416,77.42500305,65.06666565,21.49300003
